"","cell_type","count"
"1","Alveolar fibroblasts",239
"2","AT1",2697
"3","AT2",1359
"4","B cells",6
"5","Basal resting",21
"6","CD4 T cells",1756
"7","CD8 T cells",137
"8","Club (non-nasal)",3
"9","DC2",1
"10","EC aerocyte capillary",2
"11","EC arterial",39
"12","EC general capillary",3061
"13","EC venous pulmonary",3
"14","EC venous systemic",919
"15","Ionocyte",12
"16","Lymphatic EC mature",15
"17","Multiciliated (non-nasal)",371
"18","Myofibroblasts",12
"19","Pericytes",83
"20","Plasma cells",2
"21","Smooth muscle",125
"22","Suprabasal",3
"23","Transitional Club-AT2",130
